Date,Open,High,Low,Close,Adj Close,Volume
11/20/2020,118.639999,118.769997,117.290001,117.339996,115.303619,73604300
11/23/2020,117.18,117.620003,113.75,113.849998,111.874191,127959300
11/24/2020,113.910004,115.849998,112.589996,115.169998,113.171288,113874200
11/25/2020,115.550003,116.75,115.169998,116.029999,114.016357,76499200
11/27/2020,116.57,117.489998,116.220001,116.589996,114.56665,46691300
11/30/2020,116.970001,120.970001,116.809998,119.050003,116.983948,169410200
12/1/2020,121.010002,123.470001,120.010002,122.720001,120.590263,127728200
12/2/2020,122.019997,123.370003,120.889999,123.080002,120.944008,89004200
12/3/2020,123.519997,123.779999,122.209999,122.940002,120.806442,78967600
12/4/2020,122.599998,122.860001,121.519997,122.25,120.12841,78260400
12/7/2020,122.309998,124.57,122.25,123.75,121.602386,86712000
12/8/2020,124.370003,124.980003,123.089996,124.379997,122.221436,82225500
12/9/2020,124.529999,125.949997,121,121.779999,119.66658,115089200
12/10/2020,120.5,123.870003,120.150002,123.239998,121.101234,81312200
12/11/2020,122.43,122.760002,120.550003,122.410004,120.285637,86939800
12/14/2020,122.599998,123.349998,121.540001,121.779999,119.66658,79184500
12/15/2020,124.339996,127.900002,124.129997,127.879997,125.660706,157243700
12/16/2020,127.410004,128.369995,126.559998,127.809998,125.591934,98208600
12/17/2020,128.899994,129.580002,128.039993,128.699997,126.466492,94359800
12/18/2020,128.960007,129.100006,126.120003,126.660004,124.461891,192541500
12/21/2020,125.019997,128.309998,123.449997,128.229996,126.004639,121251600
12/22/2020,131.610001,134.410004,129.649994,131.880005,129.591309,168904800
12/23/2020,132.160004,132.429993,130.779999,130.960007,128.687271,88223700
12/24/2020,131.320007,133.460007,131.100006,131.970001,129.679718,54930100
12/28/2020,133.990005,137.339996,133.509995,136.690002,134.317825,124486200
12/29/2020,138.050003,138.789993,134.339996,134.869995,132.529404,121047300
12/30/2020,135.580002,135.990005,133.399994,133.720001,131.399368,96452100
12/31/2020,134.080002,134.740005,131.720001,132.690002,130.387238,99116600
1/4/2021,133.520004,133.610001,126.760002,129.410004,127.164169,143301900
1/5/2021,128.889999,131.740005,128.429993,131.009995,128.736389,97664900
1/6/2021,127.720001,131.050003,126.379997,126.599998,124.402931,155088000
1/7/2021,128.360001,131.630005,127.860001,130.919998,128.647949,109578200
1/8/2021,132.429993,132.630005,130.229996,132.050003,129.758377,105158200
1/11/2021,129.190002,130.169998,128.5,128.979996,126.7416,100384500
1/12/2021,128.5,129.690002,126.860001,128.800003,126.564743,91951100
1/13/2021,128.759995,131.449997,128.490005,130.889999,128.6185,88636800
1/14/2021,130.800003,131,128.759995,128.910004,126.672836,90221800
1/15/2021,128.779999,130.220001,127,127.139999,124.933548,111598500
1/19/2021,127.779999,128.710007,126.940002,127.830002,125.611588,90757300
1/20/2021,128.660004,132.490005,128.550003,132.029999,129.738708,104319500
1/21/2021,133.800003,139.669998,133.589996,136.869995,134.49472,120150900
1/22/2021,136.279999,139.850006,135.020004,139.070007,136.656525,114459400
1/25/2021,143.070007,145.089996,136.539993,142.919998,140.439697,157611700
1/26/2021,143.600006,144.300003,141.369995,143.160004,140.675552,98390600
1/27/2021,143.429993,144.300003,140.410004,142.059998,139.59462,140843800
1/28/2021,139.520004,141.990005,136.699997,137.089996,134.710861,142621100
1/29/2021,135.830002,136.740005,130.210007,131.960007,129.669922,177523800
2/1/2021,133.75,135.380005,130.929993,134.139999,131.812073,106239800
2/2/2021,135.729996,136.309998,134.610001,134.990005,132.647308,83305400
2/3/2021,135.759995,135.770004,133.610001,133.940002,131.615555,89880900
2/4/2021,136.300003,137.399994,134.589996,137.389999,135.005661,84183100
2/5/2021,137.350006,137.419998,135.860001,136.759995,134.587418,75693800
2/8/2021,136.029999,136.960007,134.919998,136.910004,134.735046,71297200
