DemandRegion,Product,ShipmentSize,ServiceLevel,Period,DemandBundle,AmountDemanded,SolverInclude
ST_1040_DT_CA_Montebello_90640-4213,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1040_DT_CA_Montebello_90640-4213,641,Yes
ST_1040_DT_CA_Montebello_90640-4213,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1040_DT_CA_Montebello_90640-4213,1713,Yes
ST_1041_DT_MO_Lebanon_65536-3762,DT,Outbound,DTR_SVC,Peak_2021,ST_1041_DT_MO_Lebanon_65536-3762,2480,Yes
ST_1042_DT_TN_Lenoir City_37771-6425,DT,Outbound,DTR_SVC,Peak_2021,ST_1042_DT_TN_Lenoir City_37771-6425,1962,Yes
ST_1044_DT_MO_Kansas City_64136-1187,DT,Outbound,DTR_SVC,Peak_2021,ST_1044_DT_MO_Kansas City_64136-1187,3706,Yes
ST_1045_DT_CT_Putnam_06260-2415,DT,Outbound,DTR_SVC,Peak_2021,ST_1045_DT_CT_Putnam_06260-2415,1382,Yes
ST_1046_DT_WI_Green Bay_54302-3921,DT,Outbound,DTR_SVC,Peak_2021,ST_1046_DT_WI_Green Bay_54302-3921,3221,Yes
ST_1047_DT_KY_Louisville_40220-1646,DT,Outbound,DTR_SVC,Peak_2021,ST_1047_DT_KY_Louisville_40220-1646,1800,Yes
ST_1048_DT_OH_South Zanesville_43701-7618,DT,Outbound,DTR_SVC,Peak_2021,ST_1048_DT_OH_South Zanesville_43701-7618,1990,Yes
ST_104_DT_FL_Leesburg_34788-7237,DT,Outbound,DTR_SVC,Peak_2021,ST_104_DT_FL_Leesburg_34788-7237,1665,Yes
ST_1051_DT_NY_Liberty_12754-8313,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1051_DT_NY_Liberty_12754-8313,757,Yes
ST_1051_DT_NY_Liberty_12754-8313,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1051_DT_NY_Liberty_12754-8313,2077,Yes
ST_1052_DT_MA_Hadley_01035-9528,DT,Outbound,DTR_SVC,Peak_2021,ST_1052_DT_MA_Hadley_01035-9528,1885,Yes
ST_1054_DT_CT_Southington_06489-1507,DT,Outbound,DTR_SVC,Peak_2021,ST_1054_DT_CT_Southington_06489-1507,1753,Yes
ST_1055_DT_NY_Buffalo_14210-2600,DT,Outbound,DTR_SVC,Peak_2021,ST_1055_DT_NY_Buffalo_14210-2600,2075,Yes
ST_1057_DT_KS_Junction City_66441-9464,DT,Outbound,DTR_SVC,Peak_2021,ST_1057_DT_KS_Junction City_66441-9464,1356,Yes
ST_1058_DT_AR_Jonesboro_72404-8465,DT,Outbound,DTR_SVC,Peak_2021,ST_1058_DT_AR_Jonesboro_72404-8465,1727,Yes
ST_1059_DT_WI_Milwaukee_53222-2055,DT,Outbound,DTR_SVC,Peak_2021,ST_1059_DT_WI_Milwaukee_53222-2055,2974,Yes
ST_105_DT_SC_Murrells Inlet_29576-7973,DT,Outbound,DTR_SVC,Peak_2021,ST_105_DT_SC_Murrells Inlet_29576-7973,2577,Yes
